"code","name","address","phone","email","contact_name","contact_phone","payment_method_id","departament_id","town_id","prefix_origin","employee_id"
"CON-1","GENEMEDIC","7 CALLE 34-78 COL TIKAL 2 ZONA 7 GUATEMALA","2433-9089","","","","2","1","1","","4"
"XCO-2","ALMACEN EMMA","20 CALLE 3-83 ZONA 1 GUATEMALA","2253-2602","","","","1","1","1","","4"
"XCO-3","ILUMINACION CONTINENTAL","EL CORITJO 1 ZONA 12 CALZ ATANASIO TZUL","2411-4800","","","","1","1","1","","4"
"XCO-5","LABORATORIO DENTAL MONTOYA","13 CALLE 4-56 ZONA 1 GUATEMALA","2232-0453","","","","1","1","1","","4"
"XCO-6","INVADEN","CALZ SAN JUAN 40-05 ZONA 7 COL NUEVA MONSERRAT","2432-6588","","","","1","1","1","","4"
"XCO-7","ALMACEN EL GALLITO","19 CALLE 3-11 ZONA 1 GUATEMALA","2232-7116","","","","1","1","1","","4"
"XCO-12","IMPORTADORA CANDY","2 AV 17-14 ZONA 1 GUATEMALA","2238-1680","","","","1","1","1","","4"
"PRE-13","ALMACENES CHANG Y CIA","9 AV 8-52 ZONA 1 GUATEMALA","2232-8666","","","","4","1","1","","1"
"GUA-14","DROGUERIA BIOTHICAL S,A.","CALZ ATANASIO TZUL 19-97 CORTIJO EMPRESARIAL 1 BOD 203 ZONA 12","2214-4710","","","","3","1","1","","4"
"GUA-15","DROMEDIC, S.A.","6 TA CALLE  2-12 ZONA 1","2221-0582 // 2220-7792","","TELMA ABAC","","3","1","1","","4"
"XEL-16","COMERCIAL DE EDICIONES / MARTIN SOLARES","28 AV A 13-23 ZONA 7 QUETZALTENANGO COL LOS TRIGALES","77672723","","","","3","1","1","","4"
"GUA-18","DROGUERIA REFASA S,A.","2 CALLE 3-75 ZONA 1","2222-9595","","BEATRIZ MORENTE","","3","1","1","","4"
"GUA-19","MARKETING ARM GUATEMALA S,A.","27AV 7-25 ZONA 4 MIXCO EL NARANJO DISTRIBODEGAS 2 BODEGA B-17","2324-2525","","MISHEL MENDEZ","","3","1","1","","4"
