"code","name","address","phone","email","contact_name","contact_phone","payment_method_id","departament_id","town_id","prefix_origin","seller_id"
"CON-1","GENEMEDIC","7 CALLE 34-78 COL TIKAL 2 ZONA 7 GUATEMALA","2433-9089","","N/A","0","2","1","1","CAP","4"
"XCO-2","ALMACEN EMMA","20 CALLE 3-83 ZONA 1 GUATEMALA","2253-2602","","N/A","0","1","1","1","CAP","4"
"XCO-3","ILUMINACION CONTINENTAL","EL CORITJO 1 ZONA 12 CALZ ATANASIO TZUL","2411-4800","","N/A","0","1","1","1","CAP","4"
"XCO-5","LABORATORIO DENTAL MONTOYA","13 CALLE 4-56 ZONA 1 GUATEMALA","2232-0453","","N/A","0","1","1","1","CAP","4"
"XCO-6","INVADEN","CALZ SAN JUAN 40-05 ZONA 7 COL NUEVA MONSERRAT","2432-6588","","N/A","0","1","1","1","CAP","4"
"XCO-7","ALMACEN EL GALLITO","19 CALLE 3-11 ZONA 1 GUATEMALA","2232-7116","","N/A","0","1","1","1","CAP","4"
"XCO-12","IMPORTADORA CANDY","2 AV 17-14 ZONA 1 GUATEMALA","2238-1680","","N/A","0","1","1","1","CAP","4"
"PRE-13","ALMACENES CHANG Y CIA","9 AV 8-52 ZONA 1 GUATEMALA","2232-8666","","N/A","0","4","1","1","CAP","1"
"GUA-14","DROGUERIA BIOTHICAL S,A.","CALZ ATANASIO TZUL 19-97 CORTIJO EMPRESARIAL 1 BOD 203 ZONA 12","2214-4710","","N/A","0","3","1","1","CAP","4"
"GUA-15","DROMEDIC, S.A.","6 TA CALLE  2-12 ZONA 1","2221-0582 // 2220-7792","","TELMA ABAC","0","3","1","1","CAP","4"
"XEL-16","COMERCIAL DE EDICIONES / MARTIN SOLARES","28 AV A 13-23 ZONA 7 QUETZALTENANGO COL LOS TRIGALES","77672723","","N/A","0","3","1","1","CAP","4"
"GUA-18","DROGUERIA REFASA S,A.","2 CALLE 3-75 ZONA 1","2222-9595","","BEATRIZ MORENTE","0","3","1","1","CAP","4"
"GUA-19","MARKETING ARM GUATEMALA S,A.","27AV 7-25 ZONA 4 MIXCO EL NARANJO DISTRIBODEGAS 2 BODEGA B-17","2324-2525","","MISHEL MENDEZ","0","3","1","1","CAP","4"
"GUA-22","IMPORTACIONES ABU S,A.","5 CALLE 9-48 ZONA 1 2DO NIVEL LOCAL A-2","2225-0808  5516-4525","","LUIS FERNANDO ABULARACEN","0","3","1","1","CAP","3"
"XCO-24","UNIREFRI","7 AV 20-23 ZONA 1 GUATEMALA","2220-6434","","N/A","0","1","1","1","CAP","4"
"XCO-25","PRO-MOTO S,A.","VILLA NUEVA, GUATEMALA","6665-5550","","N/A","0","1","1","1","CAP","4"
"GUA-26","PRO-MOTO S,A.","VILLA NUEVA, GUATEMALA","6665-5550","","N/A","0","3","1","1","CAP","4"
"XCO-29","HIVISA","BLV EL NARANJO 28-98 ZONA 4 MIXCO, GUATEMALA","2317-6360","","N/A","0","1","1","1","CAP","4"
"XCO-30","CASA DE LOS RODAMIENTOS","CALLE MART╠ 11-28 ZONA 2 GUATEMALA","2254-2171","","N/A","0","1","1","1","CAP","4"
"XCO-31","ALMACEN YAM GUANTIN","3 AV 20-24 ZONA 1","4522-5996","","N/A","0","1","1","1","CAP","4"
"XCO-32","INVERSIONES ASIATICAS GUATEMALA S,A.","0 AV BOD 207 23-13 ZONA 17 GUATEMALA","2313-0926","","N/A","0","1","1","1","CAP","3"
"GUA-33","TECNOLOGIA EN LUBRICANTES S,A.","8 AV 30-80 ZONA 11 COLONIA GRANAI II","2315-3400","","N/A","0","3","1","1","CAP","4"
"XCO-34","DIFORZA INTERNATIONAL ,S.A","35 AV 26-31 ZONA 5 COLONIA VIVIBIEN, GUATEMALA","2412-8383","","N/A","0","1","1","1","CAP","4"
"XCO-36","F.P.K. S,A.","5 CALLE 6-75 ZONA 9","23247363","","N/A","0","1","1","1","CAP","4"
"GUA-37","ATLANTICA AGRICOLA DE GUATEMALA","AMATITLAN KM 28.5 CARRETERA CA-09, DISTRIPARK CENTRO LOG═STICO BODEGA 18 SE","66314167","","N/A","0","3","1","1","CAP","2"
"CHI-38","INVERSIONES SAESNOR DE GUATEMALA// WILBER ESPINO","8 AV  CALZ 2 HECTOR 9-99 ZONA 2 CHIQUIMULA","0","","N/A","0","3","1","1","CAP","4"
"XCO-40","IMPORTACIONES RIVAS","1 CALLE 3-31 ZONA 1 VILLA NUEVA, GUATEMALA","56980184    30938561","","N/A","0","1","1","1","CAP","4"
"GUA-41","PRODUCCIONES METTA INTERNACIONAL S,A.","3 AV 25-00 ZONA 2 INTERIOR FINCA EL ZAPOTE","25056800","","N/A","0","3","1","1","CAP","4"
"XCO-42","INVERSIONES OLMALAX S,A.","CALZADA SAN JUAN 32-49 ZONA 7 BODEGA 2 MIXCO, GUATEMALA","2502-7474","","N/A","0","1","1","1","CAP","4"
"GUA-43","COMPAÐIA DE EQUIPO MEDICO HOSPITALARIO S,A.","2 CALLE 4-08 ZONA 10 CIUDAD CAPITAL","0","","N/A","0","3","1","1","CAP","4"
"GUA-44","SDCB (CHAMPION BOX)","7 CALLE 14-22 ZONA 11 COLONIA CARABANCHEL, CIUDAD CAPITAL","2472-8407    5512-0102","","N/A","0","3","1","1","CAP","3"
"XCO-45","SDCB (CHAMPION BOX)","7 CALLE 14-22 ZONA 11 COLONIA CARABANCHEL, CIUDAD CAPITAL","2472-8407  5512-0102","","N/A","0","1","1","1","CAP","3"
"XCO-46","PAZ EDITORES","AVENIDA PETAPA 22-29 ZONA 12 C.C. SUR LOCAL 6","2476-0050","","N/A","0","1","1","1","CAP","4"
"CON-47","PAZ EDITORES","AV PETAPA 22-29 ZONA 12 C.C. SUR LOCAL 6","2476-0050","","N/A","0","2","1","1","CAP","4"
"GUA-48","EDITORA DE TEXTOS","2 CALLE 21-66 ZONA 15 V.H. 2 PLAZA 21","2251-1229    5206-5231","","N/A","0","3","1","1","CAP","4"
"GUA-6864","COMERCIALIZADORA AUTOMOTRIZ J.A. VASQUEZ","5 CALLE 1-02 ZONA 13","2473-1574","","N/A","0","3","1","1","CAP","4"
"XCO-8569","ALMACEN SUPER KISS","17 CALLE 6-15 ZONA 1 GUATEMALA","22537208","","N/A","0","1","1","1","CAP","4"
"XCO-6865","COMERCIALIZADORA AUTOMOTRIZ J.A. VASQUEZ","2 CALLE 1-02 ZONA 13","2473-1574","","N/A","0","1","1","1","CAP","4"
"GUA-50","TELAS LAFAYETTE DE GUATEMALA S,A.","20 CALLE 26-30 ZONA 10, CIUDAD CAPITAL","2318-0200","","N/A","0","3","1","1","CAP","4"
"CON-52","GAMAR S,A.","MANZANA G 1 SECTOR 1 LOTE 13 ZONA 18 RESIDENCIALES LOS OLIVOS","22604611  53011455","","N/A","0","2","1","1","CAP","4"
"XCO-53","GAMAR S,A.","MANZANA G 1 SECTOR 1 LOTE 13 ZONA 18 RESIDENCIALES LOS OLIVOS","22604611   53011455","","N/A","0","1","1","1","CAP","4"
"CON-54","DACEMA","LOTE 12 MANZANA E ZONA 18 SEC 1 VALLE DE JESUS","40280444","","N/A","0","2","1","1","CAP","4"
"XCO-55","DACEMA","LOTE 12 MANZANA E ZONA 18 SEC 1 CALLE DE JESUS","40280444","","N/A","0","1","1","1","CAP","4"
"XEL-56","PROMOCIONES Y VENTAS DE OCCIDENTE","11AV B 0-122 ZONA 9 LOS CEREZOS 2, QUETZALTENANGO","7926-7487","","ESTERFINA DEL CARMEN MONZON BARRIOS","0","3","1","1","CAP","4"
"GUA-58","DALISH","3AV 13-74 COL EL ROSARIO ZONA 3 MIXCO OFIBODEGA BODASA BODEGA 7","22088600","","N/A","0","3","1","1","CAP","4"
"XCO-59","DALISH","3AV 13-74 COL EL ROSARIO ZONA 3 MIXCO OFIBODEGA BODASA BOD 7","22088600","","N/A","0","1","1","1","CAP","4"
"XCO-57","HIPER TELAS","8 CALLE 10-21 ZONA 1","22008000","","N/A","0","1","1","1","CAP","4"
"GUA-60","CONTINENTAL DE EDICIONES","11 CALLE 10-50 ZONA 1 CIUDAD DE GUATEMALA","2316-223","","N/A","0","3","1","1","CAP","4"
"XCO-61","QUINILLA","CIUDAD DE GUATEMALA","53167814","","N/A","0","1","1","1","CAP","3"
